Date,Close,chg,nextWeekChg,signal,predictChg,PredClose,Predict,d_0,d_1,d_2,d_3,d_4,sum
2017-01-09,185.60000610351562,0.0010788145286722006,0.9967672086003003,False,1.0033147,186.21522066232137,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-10,187.5,0.010237035743547729,0.9914666341145832,False,1.0042261,188.29239159822464,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-11,188.3000030517578,0.004266682942708266,0.9978756816314894,False,1.00608,189.44487298198328,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-12,186.60000610351562,-0.009028130221404806,1.0032153849147984,True,1.0085089,188.18777075238904,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-13,186.5,-0.000535938372157152,0.9946380697050937,False,1.0115358,188.65141993761063,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-16,185.0,-0.008042895442359255,1.001081064585093,True,1.0150175,187.7782392501831,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-17,185.89999389648438,0.004864831872888553,0.9962345509885709,False,1.0177093,189.1921443335159,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-18,187.89999389648438,0.010758472650158613,0.9888238908305476,False,1.0199828,191.65476467333792,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-19,187.1999969482422,-0.003725369723150851,1.0032051608616293,True,1.021587,191.2410859402862,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-20,185.5,-0.009081180427114033,1.0172506574029228,True,1.0219916,189.57944375276566,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-23,185.1999969482422,-0.0016172671253790183,1.0178185912858306,True,1.0213999,189.16325014259382,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-24,185.1999969482422,0.0,1.011339126015766,True,1.0198977,188.88505080826508,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-25,185.8000030517578,0.003239773830467696,1.0032292294664786,True,1.017963,189.13753813026597,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-26,187.8000030517578,0.010764262471206099,0.9968050793729206,False,1.0158373,190.77425024574222,1,1,1.0,1.0,1.0,1.0,5.0
2017-01-27,188.6999969482422,0.004792299690412394,0.989401165700344,False,1.0132216,191.1949168874653,1,1,1.0,1.0,1.0,1.0,5.0
2017-02-01,188.5,-0.0010598672574279044,1.0371352785145889,True,1.010281,190.43796223402023,1,1,1.0,1.0,1.0,1.0,5.0
